date,GPP_NT_VUT_REF,n_datapoints,n_measured,SW_IN_F,f_measured
548681411-03-13,0.913016,1,0,0,0
548681411-04-12,4.63553,1,0,10.748,0
548681411-06-21,5.09868,1,0,22.496,0
548681411-07-21,5.87183,1,0,32.982,0
548681411-09-29,7.75958,1,0,59.62,0
548681411-10-29,-5.60595,1,0,70.189,0
548681412-01-07,-2.52573,1,0,78.313,0
548681412-02-06,-1.9798,1,0,83.855,0
548681412-04-16,0.933136,1,0,86.72,0
548681412-05-16,1.11525,1,0,86.858,0
548681412-07-25,3.51741,1,0,67.709,0
548681412-08-24,4.46521,1,0,63.47,0
548681412-11-02,5.43921,1,0,57.146,0
548681412-12-02,4.64462,1,0,48.846,0
548681413-02-10,5.86046,1,0,38.712,0
548681413-03-12,5.45267,1,0,26.916,0
548681413-05-21,5.9906,1,0,2.656,0
548681413-06-20,5.55317,1,0,0,0
548681413-08-29,5.22797,1,0,0,0
548681413-09-28,4.18391,1,0,0,0
548681413-12-07,3.83056,1,0,0,0
548681414-01-06,1.75019,1,0,0,0
548681414-03-17,0.635232,1,0,0,0
548681414-04-16,0.177811,1,0,0,0
548681414-06-25,0.30523,1,0,0,0
548681414-07-25,0.234389,1,0,0,0
548681414-10-03,-0.017819,1,0,0,0
548681414-11-02,0.178914,1,0,0,0
548681415-01-11,0.174839,1,0,0,0
548681415-02-10,0.202265,1,0,0,0
548681415-04-21,0.059603,1,0,0,0
548681415-05-21,0.351973,1,0,0,0
548681436-05-20,-0.900865,1,0,0,0
548681436-06-19,-2.67412,1,0,0,0
548681436-08-28,-3.11139,1,0,0,0
548681436-09-27,-3.09903,1,0,0,0
548681436-12-06,-3.8155,1,0,0,0
548681437-01-05,-4.0887,1,0,0,0
548681437-03-16,-2.50903,1,0,0,0
548681437-04-15,-0.330615,1,0,0,0
548681437-06-24,-0.10123,1,0,0,0
548681437-07-24,-0.573852,1,0,0,0
548681437-10-02,0.353129,1,0,0,0
548681437-11-01,1.09229,1,0,0,0
548681438-01-10,-2.63956,1,0,0,0
548681438-02-09,-1.64053,1,0,0,0
548681438-04-20,-0.811856,1,0,0,0
548681438-05-20,0.005301,1,0,0,0
548681438-07-29,2.34989,1,0,0,0
548681438-08-28,5.03422,1,0,29.192,0
548681438-11-06,5.19022,1,0,60.835,0
548681438-12-06,5.8763,1,0,89.093,0
548681439-02-14,6.85726,1,0,153.193,0
548681439-03-16,2.99511,1,0,180.33,0
548681439-05-25,2.30927,1,0,201.219,0
548681439-06-24,2.09531,1,0,215.5,0
548681439-09-02,2.52452,1,0,222.931,0
548681439-10-02,2.42665,1,0,223.384,0
548681439-12-11,3.86847,1,0,125.503,0
548681440-01-10,4.20349,1,0,117.745,0
548681440-03-20,4.84161,1,0,106.141,0
548681440-04-19,4.89472,1,0,90.89,0
548681440-06-28,5.93111,1,0,72.253,0
548681440-07-28,5.28528,1,0,50.549,0
548681440-10-06,5.81993,1,0,6.895,0
548681440-11-05,5.31696,1,0,0,0
548681441-01-14,4.57027,1,0,0,0
548681441-02-13,3.53562,1,0,0,0
548681441-04-24,3.22232,1,0,0,0
548681441-05-24,1.95544,1,0,0,0
548681441-08-02,0.995952,1,0,0,0
548681441-09-01,0.508454,1,0,0,0
548681441-11-10,-2.29443,1,0,0,0
548681441-12-10,-1.99306,1,0,0,0
548681442-02-18,-1.87764,1,0,0,0
548681442-03-20,-1.42764,1,0,0,0
548681442-05-29,-1.4563,1,0,0,0
548681442-06-28,-0.015884,1,0,0,0
548681442-09-06,-0.191941,1,0,0,0
548681442-10-06,-0.041368,1,0,0,0
548681463-10-06,-1.27641,1,0,0,0
548681463-11-05,-2.72756,1,0,0,0
548681464-01-14,-3.17801,1,0,0,0
548681464-02-13,-3.15212,1,0,0,0
548681464-04-23,-3.8551,1,0,0,0
548681464-05-23,-4.11473,1,0,0,0
548681464-08-01,-2.52154,1,0,0,0
548681464-08-31,-0.329344,1,0,0,0
548681464-11-09,-0.086221,1,0,0,0
548681464-12-09,-0.552025,1,0,0,0
548681465-02-17,0.381862,1,0,0,0
548681465-03-19,1.12784,1,0,0,0
548681465-05-28,-2.59712,1,0,0,0
548681465-06-27,-1.59128,1,0,0,0
548681465-09-05,-0.755803,1,0,0,0
548681465-10-05,-6.32291,1,0,0,0
548681465-12-14,-1.01078,1,0,0,0
548681466-01-13,4.94415,1,0,12.894,0
548681466-03-24,4.95329,1,0,26.73,0
548681466-04-23,5.91989,1,0,39.09,0
548681466-07-02,8.8849,1,0,92.396,0
548681466-08-01,4.0734,1,0,108.745,0
548681466-10-10,-8.13073,1,0,121.343,0
548681466-11-09,-5.24857,1,0,129.977,0
548681467-01-18,-4.38862,1,0,134.498,0
548681467-02-17,-4.64976,1,0,134.83,0
548681467-04-28,-1.6696,1,0,155.649,0
548681467-05-28,-0.648795,1,0,146.15,0
548681467-08-06,-1.05453,1,0,131.906,0
548681467-09-05,-0.657641,1,0,113.161,0
548681467-11-14,4.74683,1,0,90.235,0
548681467-12-14,4.14644,1,0,63.521,0
548681468-02-22,6.04754,1,0,14.574,0
548681468-03-23,5.69918,1,0,0.266,0
548681468-06-01,5.13239,1,0,0,0
548681468-07-01,4.03166,1,0,0,0
548681468-09-09,4.19747,1,0,0,0
548681468-10-09,2.33021,1,0,0,0
548681468-12-18,1.13794,1,0,0,0
548681469-01-17,0.377093,1,0,0,0
548681469-03-28,-2.42186,1,0,0,0
548681469-04-27,-2.11658,1,0,0,0
548681469-07-06,1.3522,1,0,0,0
548681469-08-05,1.48413,1,0,0,0
548681469-10-14,1.19517,1,0,0,0
548681469-11-13,1.18958,1,0,0,0
548681470-01-22,0.953655,1,0,0,0
548681470-02-21,1.05981,1,0,0,0
548681491-02-21,-1.03861,1,0,0,0
548681491-03-23,-2.82139,1,0,0,0
548681491-06-01,-3.26828,1,0,0,0
548681491-07-01,-3.25069,1,0,0,0
548681491-09-09,-3.96208,1,0,0,0
548681491-10-09,-4.23008,1,0,0,0
548681491-12-18,-2.6452,1,0,0,0
548681492-01-17,-0.46153,1,0,0,0
548681492-03-27,-0.226873,1,0,0,0
548681492-04-26,-0.702907,1,0,0,0
548681492-07-05,0.220669,1,0,0,0
548681492-08-04,0.956524,1,0,0,0
548681492-10-13,-4.98052,1,0,0,0
548681492-11-12,-3.18319,1,0,0,0
548681493-01-21,-1.91101,1,0,0,0
548681493-02-20,-0.99583,1,0,0,0
548681493-05-01,1.01445,1,0,0,0
548681493-05-31,4.75527,1,0,38.979,0
548681493-08-09,5.23683,1,0,80.308,0
548681493-09-08,6.02846,1,0,117.246,0
548681493-11-17,7.93478,1,0,199.675,0
548681493-12-17,-5.36033,1,0,234.945,0
548681494-02-25,-2.20911,1,0,262.158,0
548681494-03-27,-1.59161,1,0,280.849,0
548681494-06-05,1.39348,1,0,290.699,0
548681494-07-05,1.64803,1,0,291.538,0
548681494-09-13,4.12294,1,0,220.65,0
548681494-10-13,5.03621,1,0,207.358,0
548681494-12-22,5.97582,1,0,187.376,0
548681495-01-21,5.14679,1,0,161.045,0
548681495-04-01,6.32833,1,0,128.816,0
548681495-05-01,5.88621,1,0,91.24,0
548681495-07-10,6.38985,1,0,8.14,0
548681495-08-09,5.93873,1,0,0.448,0
548681495-10-18,5.59966,1,0,0,0
548681495-11-17,4.54176,1,0,0,0
548681496-01-26,4.17468,1,0,0,0
548681496-02-25,2.08052,1,0,0,0
548681496-05-05,0.951883,1,0,0,0
548681496-06-04,0.496887,1,0,0,0
548681496-08-13,0.626732,1,0,0,0
548681496-09-12,0.558227,1,0,0,0
548681496-11-21,0.308537,1,0,0,0
548681496-12-21,0.507699,1,0,0,0
548681497-03-01,0.506054,1,0,0,0
548681497-03-31,0.533232,1,0,0,0
548681497-06-09,0.39014,1,0,0,0
548681497-07-09,0.68226,1,0,0,0
548681518-07-10,-0.571012,1,0,0,0
548681518-08-09,-2.34452,1,0,0,0
548681518-10-18,-2.78222,1,0,0,0
548681518-11-17,-2.7825,1,0,0,0
548681519-01-26,-3.51162,1,0,0,0
548681519-02-25,-3.79758,1,0,0,0
548681519-05-06,-2.23061,1,0,0,0
548681519-06-05,-0.064895,1,0,0,0
548681519-08-14,0.151676,1,0,0,0
548681519-09-13,-0.321249,1,0,0,0
548681519-11-22,0.605336,1,0,0,0
548681519-12-22,1.3442,1,0,0,0
548681520-03-01,-2.38796,1,0,0,0
548681520-03-31,-1.38924,1,0,0,0
548681520-06-09,-0.560874,1,0,0,0
548681520-07-09,0.254927,1,0,0,0
548681520-09-17,2.59824,1,0,0,0
548681520-10-17,5.2812,1,0,4.129,0
548681520-12-26,5.43593,1,0,8.448,0
548681521-01-25,6.12063,1,0,12.309,0
548681521-04-05,7.1002,1,0,37.558,0
548681521-05-05,3.19307,1,0,44.177,0
548681521-07-14,2.46203,1,0,49.291,0
548681521-08-13,2.20258,1,0,52.811,0
548681521-10-22,2.58596,1,0,54.677,0
548681521-11-21,2.44214,1,0,54.857,0
548681522-01-30,3.83771,1,0,55.373,0
548681522-03-01,4.20367,1,0,52.081,0
548681522-05-10,4.87278,1,0,47.12,0
548681522-06-09,4.9567,1,0,40.574,0
548681522-08-18,6.02385,1,0,32.555,0
548681522-09-17,5.40879,1,0,23.2,0
548681522-11-26,5.97403,1,0,2.645,0
548681522-12-26,5.48426,1,0,0.239,0
548681523-03-06,4.75083,1,0,0,0
548681523-04-05,3.72931,1,0,0,0
548681523-06-14,3.42901,1,0,0,0
548681523-07-14,2.17528,1,0,0,0
548681523-09-22,1.2288,1,0,0,0
548681523-10-22,0.761788,1,0,0,0
548681523-12-31,-2.02076,1,0,0,0
548681524-01-30,-1.69902,1,0,0,0
548681524-04-09,-1.56328,1,0,0,0
548681524-05-09,-1.09302,1,0,0,0
548681524-07-18,-1.10149,1,0,0,0
548681524-08-17,0.351171,1,0,0,0
548681524-10-26,0.187349,1,0,0,0
548681524-11-25,0.35024,1,0,0,0
548681545-11-25,-0.872591,1,0,0,0
548681545-12-25,-2.31153,1,0,0,0
548681546-03-05,-2.74978,1,0,0,0
548681546-04-04,-2.76206,1,0,0,0
